%
% ARFF data file, generated by KNIME
%
% Date: Mon May 09 22:37:07 CEST 2011
% User: salco
%

@RELATION DataTable
@ATTRIBUTE id	INTEGER
@ATTRIBUTE pub	{1,0}
@ATTRIBUTE mod	{0,1}
@ATTRIBUTE year	{1}
@ATTRIBUTE month	{1}
@ATTRIBUTE day	{1}
@ATTRIBUTE hour	{0,1}
@ATTRIBUTE minute	{0,1}
@ATTRIBUTE second	{0,1}
@ATTRIBUTE relDocPos	REAL
@ATTRIBUTE ordDocPos	REAL
@ATTRIBUTE ordAgePos	REAL
@ATTRIBUTE keyClass	{0,2,3,1}
@ATTRIBUTE keyLoc	{0,2,1}
@ATTRIBUTE keyDiff	REAL
@ATTRIBUTE simpleTag	{0,1}
@ATTRIBUTE hTag	{0,1}
@ATTRIBUTE tagName	{SPAN,STRONG,P,EM,LI,H5,FONT,DIV,H2,A,B,I,CENTER,OPTION,SMALL,TD,TITLE,H3,ADDRESS,BODY,ABBR,NOBR,EDITDATE,CITE,H6,PRE,H4,CODE,H1,DD,BLOCKQUOTE,DT,TIME,HTML:ABBR,PAUSING,DL,U}
@ATTRIBUTE hasStructureDate	{0,1}
@ATTRIBUTE inMetaDates	{0,1}
@ATTRIBUTE inUrl	{0,1}
@ATTRIBUTE relCntSame	REAL
@ATTRIBUTE relSize	REAL
@ATTRIBUTE distPosBefore	INTEGER
@ATTRIBUTE distPosAfter	INTEGER
@ATTRIBUTE distAgeBefore	INTEGER
@ATTRIBUTE distAgeAfter	INTEGER
@ATTRIBUTE format	{'MMMM DD, YYYY','MMMM DD, YYYY YYYY HH:MM:SS +UTC',MM/DD/YYYY,'DD. MMMM YYYY',DD.MM.YYYY,YYYY-MM-DD,YYYY_MM_DD,YYYYMMDD,'MM/DD/YYYY HH:MM:SS +UTC','DD. MMMM YYYY HH:MM:SS +UTC','DD.MM.YYYY HH:MM:SS +UTC',MMMM-DD-YYYY,YYYY-MM-DDTHH:MM:SS+HH:MM,YYYY-DDD,'WD, DD MMM YYYY HH:MM:SS +UTC',YYYY-MMM-D,'WD MMM DD_1 HH:MM:SS YYYY',YYYYDDD}
@ATTRIBUTE keyword	{null,updated,date,created,posted,published,release,update,added,released,'last modified',create,publish,pubdate,pdate,revised,date-header,revise,datetime,geschrieben}
@ATTRIBUTE excatness	{3,5,6,4}
@ATTRIBUTE keyLoc201	{0,1}
@ATTRIBUTE keyLoc202	{0,1}
@ATTRIBUTE isKeyClass1	{0,1}
@ATTRIBUTE isKeyClass2	{0,1}
@ATTRIBUTE isKeyClass3	{0,1}

@DATA
19536,0,0,1,1,1,1,1,0,0.946,0.96,0.88,0,0,0.0,0,0,SPAN,0,0,0,0.12,0.04,205,216,239,-1,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
19537,0,0,1,1,1,1,1,0,0.962,1.0,0.96,1,2,0.5,0,0,SPAN,0,0,0,0.08,0.04,216,-1,12841,-1,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',published,5,0,1,1,0,0
19538,0,1,1,1,1,0,0,0,0.0030,0.014,0.042,1,2,0.967,0,0,SPAN,0,0,0,0.014,0.014,-1,269,24,-1,'MMMM DD, YYYY',posted,3,0,1,1,0,0
19539,0,0,1,1,1,0,0,0,0.0040,0.028,0.083,0,0,0.0,0,0,P,0,0,0,0.042,0.014,269,1777,0,-1,'MMMM DD, YYYY',null,3,0,0,0,0,0
19540,0,0,1,1,1,0,0,0,0.015,0.042,0.097,0,0,0.0,1,0,EM,0,0,0,0.042,0.014,1777,9628,0,-1,'MMMM DD, YYYY',null,3,0,0,0,0,0
19541,0,0,1,1,1,0,0,0,0.075,0.056,0.056,0,0,0.0,0,0,P,0,0,0,0.028,0.014,9628,1388,0,-1,'MMMM DD, YYYY',null,3,0,0,0,0,0
19542,0,0,1,1,1,0,0,0,0.084,0.069,0.069,1,2,0.967,0,0,SPAN,0,0,0,0.028,0.014,1388,480,24,-1,'MMMM DD, YYYY',posted,3,0,1,1,0,0
19543,0,0,1,1,1,0,0,0,0.087,0.083,0.125,0,0,0.0,0,0,P,0,0,0,0.028,0.014,480,5877,0,-1,'MMMM DD, YYYY',null,3,0,0,0,0,0
19544,0,0,1,1,1,0,0,0,0.124,0.097,0.153,0,0,0.0,0,0,P,0,0,0,0.028,0.014,5877,1508,0,-1,'MMMM DD, YYYY',null,3,0,0,0,0,0
19545,0,0,1,1,1,0,0,0,0.133,0.111,0.111,1,2,0.967,0,0,SPAN,0,0,0,0.042,0.014,1508,1565,97,-1,'MMMM DD, YYYY',posted,3,0,1,1,0,0
19546,0,0,1,1,1,0,0,0,0.143,0.125,0.986,1,2,0.967,0,0,P,0,0,0,0.014,0.014,1565,2292,2303,-1,'MMMM DD, YYYY',release,3,0,1,1,0,0
19547,0,0,1,1,1,0,0,0,0.157,0.139,0.792,0,0,0.0,0,0,P,0,0,0,0.014,0.014,2292,277,24,-1,'MMMM DD, YYYY',null,3,0,0,0,0,0
19548,0,0,1,1,1,0,0,0,0.159,0.153,0.139,0,0,0.0,0,0,P,0,0,0,0.028,0.014,277,5482,24,-1,'MMMM DD, YYYY',null,3,0,0,0,0,0
19549,0,0,1,1,1,0,0,0,0.193,0.167,0.167,1,2,0.967,0,0,SPAN,0,0,0,0.028,0.014,5482,137,48,-1,'MMMM DD, YYYY',posted,3,0,1,1,0,0
19550,0,0,1,1,1,0,0,0,0.194,0.181,0.306,1,2,0.267,0,0,P,0,0,0,0.083,0.014,137,1084,0,-1,'MMMM DD, YYYY',posted,3,0,1,1,0,0
19551,0,0,1,1,1,0,0,0,0.2,0.194,0.319,0,0,0.0,0,0,P,0,0,0,0.083,0.014,1084,4637,0,-1,'MMMM DD, YYYY',null,3,0,0,0,0,0
19552,0,0,1,1,1,0,0,0,0.229,0.208,0.014,0,0,0.0,0,0,P,0,0,0,0.014,0.014,4637,1662,360,-1,'MMMM DD, YYYY',null,3,0,0,0,0,0
19553,0,0,1,1,1,0,0,0,0.24,0.222,0.181,1,2,0.967,0,0,SPAN,0,0,0,0.083,0.014,1662,1303,0,-1,'MMMM DD, YYYY',posted,3,0,1,1,0,0
19554,0,0,1,1,1,0,0,0,0.248,0.236,0.264,0,0,0.0,0,0,P,0,0,0,0.014,0.014,1303,686,24,-1,'MMMM DD, YYYY',null,3,0,0,0,0,0
19555,0,0,1,1,1,0,0,0,0.252,0.25,0.333,0,0,0.0,0,0,P,0,0,0,0.083,0.014,686,473,0,-1,'MMMM DD, YYYY',null,3,0,0,0,0,0
19556,0,0,1,1,1,0,0,0,0.255,0.264,0.833,0,0,0.0,0,0,P,0,0,0,0.014,0.014,473,1681,24,-1,'MMMM DD, YYYY',null,3,0,0,0,0,0
19557,0,0,1,1,1,0,0,0,0.265,0.278,0.194,0,0,0.0,0,0,P,0,0,0,0.083,0.014,1681,742,0,-1,'MMMM DD, YYYY',null,3,0,0,0,0,0
19558,0,0,1,1,1,0,0,0,0.27,0.292,0.208,2,2,0.533,0,0,P,0,0,0,0.083,0.014,742,141,0,-1,'MMMM DD, YYYY',update,3,0,1,0,1,0
19559,0,0,1,1,1,0,0,0,0.271,0.306,0.222,2,2,0.9,0,0,P,0,0,0,0.083,0.014,141,555,0,-1,'MMMM DD, YYYY',update,3,0,1,0,1,0
19560,0,0,1,1,1,0,0,0,0.274,0.319,0.236,1,2,0.967,0,0,SPAN,0,0,0,0.083,0.014,555,491,0,-1,'MMMM DD, YYYY',posted,3,0,1,1,0,0
19561,0,0,1,1,1,0,0,0,0.277,0.333,0.847,0,0,0.0,0,0,P,0,0,0,0.028,0.014,491,357,0,-1,'MMMM DD, YYYY',null,3,0,0,0,0,0
19562,0,0,1,1,1,0,0,0,0.28,0.347,0.347,0,0,0.0,0,0,P,0,0,0,0.083,0.014,357,301,0,-1,'MMMM DD, YYYY',null,3,0,0,0,0,0
19563,0,0,1,1,1,0,0,0,0.281,0.361,0.278,0,0,0.0,0,0,P,0,0,0,0.028,0.014,301,3090,0,-1,'MMMM DD, YYYY',null,3,0,0,0,0,0
