# according **	PER
# across **	LOC
# actor **	PER
# actress **	PER
# africa **	LOC
# african **	PER
# age **	PER
# agutaya **	LOC
# aires **	LOC
# airport **	LOC
# al **	PER
# algeria **	LOC
# ali **	PER
# alongside **	PER
# ambassador **	LOC
# ancient **	LOC
# announced **	PER
# anywhere **	LOC
# appointed **	PER
# april **	PER
# archbishop **	LOC
# archdiocese **	LOC
# arctic **	LOC
# area **	LOC
# areas **	LOC
# arrive **	LOC
# arrived **	LOC
# arriving **	LOC
# artist **	PER
# asia **	LOC
# asked **	PER
# attractions **	LOC
# author **	PER
# available **	LOC
# award **	PER
# bank **	LOC
# bar **	LOC
# barbara **	PER
# beach **	LOC
# beautiful **	LOC
# beijing **	LOC
# bill **	PER
# biography **	PER
# bob **	PER
# bolivia **	LOC
# border **	LOC
# bordering **	LOC
# borders **	LOC
# brazil **	LOC
# brett **	PER
# brother **	PER
# buenos **	LOC
# bus **	LOC
# buses **	LOC
# bush **	PER
# but **	PER
# cable **	LOC
# cairo **	LOC
# cambodia **	LOC
# canada **	LOC
# candidate **	PER
# capital **	LOC
# captain **	PER
# career **	PER
# cast **	PER
# central **	LOC
# centre **	LOC
# challenge **	PER
# champion **	PER
# chancellor **	PER
# changsha **	LOC
# charles **	PER
# chef **	PER
# chile **	LOC
# china **	LOC
# christian **	PER
# cities **	LOC
# city **	LOC
# claim **	PER
# clear **	PER
# clinton **	PER
# coast **	LOC
# colin **	PER
# companies **	LOC
# complex **	LOC
# connect **	LOC
# connections **	LOC
# connects **	LOC
# corps **	LOC
# countries **	LOC
# county **	LOC
# crossing **	LOC
# cuban **	PER
# culture **	LOC
# das **	LOC
# daughter **	PER
# david **	PER
# death **	PER
# defeated **	PER
# denmark **	LOC
# described **	PER
# desert **	LOC
# despite **	PER
# destination **	LOC
# destinations **	LOC
# did **	PER
# discover **	LOC
# dr **	PER
# drive **	LOC
# driver **	PER
# dubai **	LOC
# east **	LOC
# eastern **	LOC
# egypt **	LOC
# elected **	PER
# election **	PER
# elizabeth **	PER
# em **	LOC
# embassy **	LOC
# equatorial **	LOC
# eugenio **	LOC
# europe **	LOC
# everett **	PER
# excellency **	PER
# explore **	LOC
# fame **	PER
# fans **	PER
# fascinating **	LOC
# faso **	LOC
# father **	PER
# favorite **	PER
# favre **	PER
# featuring **	PER
# february **	PER
# fight **	PER
# film **	PER
# fish **	LOC
# flights **	LOC
# flowers **	LOC
# fly **	LOC
# followed **	PER
# following **	PER
# food **	LOC
# foreign **	PER
# former **	PER
# friend **	PER
# game **	PER
# gave **	PER
# general **	PER
# george **	PER
# gifts **	LOC
# grand **	LOC
# greater **	LOC
# guangzhou **	LOC
# guinea **	LOC
# gulf **	LOC
# harry **	PER
# he **	PER
# hear **	PER
# heard **	PER
# helped **	PER
# henry **	PER
# her **	PER
# hillary **	PER
# hilton **	LOC
# him **	PER
# his **	PER
# holiday **	LOC
# hollywood **	PER
# hong **	LOC
# honor **	PER
# hospital **	LOC
# host **	PER
# hostel **	LOC
# hotel **	LOC
# hotels **	LOC
# hub **	LOC
# hyatt **	LOC
# icon **	PER
# if **	PER
# ihre **	LOC
# im **	LOC
# in **	LOC
# india **	LOC
# indonesia **	LOC
# inn **	LOC
# inner **	LOC
# instead **	PER
# interview **	PER
# iranian **	PER
# island **	LOC
# islands **	LOC
# jakarta **	LOC
# james **	PER
# janeiro **	LOC
# january **	PER
# japan **	LOC
# jawaharla **	PER
# jews **	LOC
# jiangsu **	LOC
# johannesburg **	LOC
# johnson **	PER
# joseph **	PER
# june **	PER
# kathmandu **	LOC
# kazakhstan **	LOC
# keep **	PER
# kenya **	LOC
# km **	LOC
# knew **	PER
# kong **	LOC
# lady **	PER
# lake **	LOC
# largest **	LOC
# last **	PER
# later **	PER
# leader **	PER
# leave **	LOC
# legend **	PER
# legendary **	PER
# likes **	PER
# located **	LOC
# location **	LOC
# locations **	LOC
# look **	PER
# lotte **	LOC
# louis **	PER
# lower **	LOC
# mainland **	LOC
# majesty **	PER
# malawi **	LOC
# malaysia **	LOC
# mali **	LOC
# mall **	LOC
# map **	LOC
# march **	PER
# mark **	PER
# martha **	PER
# mary **	PER
# meanwhile **	PER
# medical **	LOC
# medicine **	LOC
# meloni **	PER
# met **	PER
# metro **	LOC
# minister **	PER
# mission **	LOC
# modern **	LOC
# mongolia **	LOC
# montréal **	LOC
# morocco **	LOC
# moscow **	LOC
# mother **	PER
# mount **	LOC
# mountain **	LOC
# mountains **	LOC
# movie **	PER
# mr **	PER
# mumbai **	LOC
# museum **	LOC
# nach **	LOC
# namibia **	LOC
# near **	LOC
# neighboring **	LOC
# nepal **	LOC
