teatinos	0	1	0.0
lf	0	4	0.0
lightly	6	2	3.0
la	96	167	0.5748502994011976
lc	0	1	0.0
lb	2	6	0.3333333333333333
synthetase/rnase	1	0	Infinity
mcclure's	0	1	0.0
hr	1	12	0.08333333333333333
hs	0	6	0.0
hp	6	5	1.2
hq	0	13	0.0
hv	0	2	0.0
hw	0	1	0.0
hu	0	9	0.0
point-of-view-shot	1	0	Infinity
scandalous	4	0	Infinity
hj	0	6	0.0
hk	0	6	0.0
hh	1	8	0.125
hi	0	3	0.0
rhoades	0	1	0.0
ho	4	13	0.3076923076923077
dè	0	1	0.0
hl	0	3	0.0
hm	1	6	0.16666666666666666
id	0	38	0.0
ic	0	2	0.0
ib	0	1	0.0
lachham	0	1	0.0
ia	2	3	0.6666666666666666
warps	1	0	Infinity
ih	0	2	0.0
ig	0	1	0.0
if	475	589	0.8064516129032258
tunnels	8	1	8.0
ie	0	4	0.0
hy	0	2	0.0
hickman	0	2	0.0
события	0	1	0.0
iq	0	3	0.0
disengagement	2	1	2.0
is	5123	115	44.54782608695652
it	4109	1850	2.2210810810810813
zeehaen's	0	1	0.0
iv	4	81	0.04938271604938271
crib	1	0	Infinity
ix	1	16	0.0625
ii	8	435	0.01839080459770115
hye-young	0	1	0.0
ik	1	1	1.0
scriptwriters	3	0	Infinity
il	3	20	0.15
premiere's	1	0	Infinity
im	21	4	5.25
in	4937	2001	2.4672663668165917
io	1	2	0.5
conservative"	0	1	0.0
ip	0	7	0.0
autoradiography	1	0	Infinity
jc	0	8	0.0
jb	0	3	0.0
je	5	9	0.5555555555555556
jd	0	9	0.0
jg	0	6	0.0
jf	0	1	0.0
ji	0	10	0.0
jh	0	6	0.0
collectio	1	0	Infinity
crin	0	1	0.0
iz	2	0	Infinity
strains	1	0	Infinity
express-news	0	3	0.0
crip	0	1	0.0
champlain	0	3	0.0
ja	5	22	0.22727272727272727
morahan	0	1	0.0
dufour	0	1	0.0
salvageable	1	0	Infinity
xj	0	1	0.0
