das	Elefantenrennen	die	Elefantenrennen
der	Kleinkrieg	die	Kleinkriege
die	Kriegserklärung	die	Kriegserklärungen
der	Weltkrieg	die	Weltkriege
der	Waffenstillstand	die	Waffenstillstände
die	Erhebung	die	Erhebungen
das	Sonnensystem	die	Sonnensysteme
der	Frikativ	die	Frikative
der	Nagel	die	Nägel
der	Mond	die	Monde
der	Katzentisch	die	Katzentische
der	Passus	die	Passus
die	Petitesse	die	Petitessen
der	Fixstern	die	Fixsterne
das	Ohr	die	Ohren
die	Zunge	die	Zungen
das	Gymnasium	die	Gymnasien
das	Dorf	die	Dörfer
der	Rasen	die	Rasen
das	Feuerzeug	die	Feuerzeuge
das	Geld	die	Gelder
das	Streichholz	die	Streichhölzer
das	Holz	die	Hölzer
die	Dorfkirche	die	Dorfkirchen
der	Dorfplatz	die	Dorfplätze
die	Dorfstraße	die	Dorfstraßen
der	Dorfbewohner	die	Dorfbewohner
der	Dorftrottel	die	Dorftrottel
der	Dorfdepp	die	Dorfdeppen
der	Kreuzer	die	Kreuzer
die	Inflation	die	Inflationen (''nur'' [2])
das	Schwert	die	Schwerter
die	Waffe	die	Waffen
der	Philanthrop	die	Philanthropen
die	Raufasertapete	die	Raufasertapeten
der	Hecht	die	Hechte
der	Mantel	die	Mäntel
der	Durchschnitt	die	Durchschnitte
die	Polizei	die	Polizeien
die	Discokugel	die	Discokugeln
die	Spiegelkugel	die	Spiegelkugeln
die	Nebelmaschine	die	Nebelmaschinen
die	Fernbedienung	die	Fernbedienungen
der	Kleiderbügel	die	Kleiderbügel
das	Krokodil	die	Krokodile
die	Kugel	die	Kugeln
die	Gegend	die	Gegenden
der	Name	die	Namen
der	Zahnstocher	die	Zahnstocher
die	Lupe	die	Lupen
der	Finger	die	Finger
der	Tafelberg	die	Tafelberge
der	Weinberg	die	Weinberge
der	Götterberg	die	Götterberge
der	Galgenberg	die	Galgenberge
die	Milchkanne	die	Milchkannen
der	Milchbubi	die	Milchbubis
der	Milchbart	die	Milchbärte
die	Milchflasche	die	Milchflaschen
das	Getränk	die	Getränke
die	Limonade	die	Limonaden
der	Kohlenwasserstoff	die	Kohlenwasserstoffe
die	Knete	die	Kneten
der	Schotter	die	Schotter
der	Rubel	die	Rubel
das	Bier	die	Biere
der	Quader	die	Quader
das	Lichtjahr	die	Lichtjahre
der	Würfel	die	Würfel
der	Milchkaffee	die	Milchkaffees
das	Milchgesicht	die	Milchgesichter
die	Milchcreme	die	Milchcremes
